.,cd/m^2 (avg),Lat (deg),Long (deg),Time,,,
,0.021932297,40.007578,-105.267115,12:42:00 AM,,Main Campus Folsom Lights on May Session,
,0.005169205,40.007625,-105.267407,12:44:00 AM,,,
,0.00478963,40.007531,-105.267711,12:46:00 AM,,,
,0.004672933,40.009597,-105.270659,12:54:00 AM,,,
,0.003858946,40.009687,-105.27065,12:55:00 AM,,,
,0.003995161,40.009855,-105.270942,12:56:00 AM,,,
,0.005248583,40.008836,-105.271679,12:59:00 AM,,,
,0.003768496,40.008697,-105.271988,1:01:00 AM,,,
,0.003939384,40.006225,-105.267334,1:11:00 AM,,,
,0.003224181,40.006095,-105.267748,1:13:00 AM,,,
,0.002721359,40.006017,-105.267345,1:14:00 AM,,,
,0.003145708,40.003323,-105.259751,1:29:00 AM,,,
,0.002738403,40.00302,-105.259669,1:30:00 AM,,,
