.,Original cd/m^2,Original Mag,Brightness (cd/m^2),Mag,Lat,Long
,0.002947296,18.91,0.002979385,18.91,40.005336,-105.25715
,0.003202018,18.82,0.004327297,18.48,40.003363,-105.26177
,0.002788841,18.97,0.003677664,18.63,40.003324,-105.265124
,0.004379492,18.48,0.003432863,18.78,40.005623,-105.264472
,0.004420015,18.47,0.003012114,18.92,40.005979,-105.264256
,0.004182383,18.53,0.003137169,18.78,40.006357,-105.2651
,0.003814378,18.63,0.003710426,18.66,40.006816,-105.264791
,0.003609306,18.69,0.002599613,19.01,40.006162,-105.26735
,0.003609306,18.69,0.002567935,19.07,39.99821,-105.25172
,0.003322185,18.78,0.002445749,19.07,39.99894,-105.250642
,0.003744758,18.65,0.002052186,19.29,39.998083,-105.250527
,0.003231646,18.81,0.001929625,19.39,39.998392,-105.248333
,0.002920275,18.92,0.002673188,19.07,39.998804,-105.249835
,0.003086198,18.86,,,,
,0.003029868,18.88,,,,
,0.003322185,18.78,,,,
,0.003114754,18.85,,,,
,0.002974567,18.9,,,,
,0.003710426,18.66,,,,
,0.002687966,19.01,,,,
,0.002520135,19.08,,,,
,0.00259074,19.05,,,,
,0.002543453,19.07,,,,
,0.00249703,19.09,,,,
,0.002663322,19.02,,,,
,0.002543453,19.07,,,,
,0.002319657,19.17,,,,
,0.002474137,19.1,,,,
,0.002076939,19.29,,,,
,0.002096157,19.28,,,,
,0.001983461,19.34,,,,
,0.001894191,19.39,,,,
,0.001965277,19.35,,,,
,0.001929407,19.37,,,,
,0.002543453,19.07,,,,
,0.002712837,19,,,,
,0.002763273,18.98,,,,
